"brand_id","brand_name","brand_generic","brand_manufacturer","brand_use"
"","Caltate","[Calcium Lactate]","GA Company ",""
"","Calton","[Calcium Lactate]","Salton Pharmaceuticals ",""
"","D Lactate","[Calcium Lactate]","Doctor's Chemicals Works ",""
"","Decal","[Calcium Lactate]","Desh Pharmaceuticals ",""
"","G Calcium Lactate","[Calcium Lactate]","Gonoshasthaya Pharmaceuticals ",""
"","G Calcium Lactate","[Calcium Lactate]","Gonoshasthaya Pharmaceuticals ",""
"","G Calcium Lactate","[Calcium Lactate]","Gonoshasthaya Pharmaceuticals ",""
"","Calofast","[Calcium Orotate]","Eskayef Bangladesh",""
"","Calorate","[Calcium Orotate]","Beximco Pharmaceuticals ",""
"","Calorate Kit","[Calcium Orotate]","Beximco Pharmaceuticals ",""
"","IntraCal","[Calcium Orotate]","Incepta Pharmaceuticals ",""
"","Ortical","[Calcium Orotate]","Opsonin Pharma ",""
"","Calci","[Calcium Pantothenate]","Opsonin Pharma ",""
"","Calcinate","[Calcium Pantothenate]","GA Company ",""
"","Gacorub","[Camphor  ; Menthol ; Oil Eucalyptus ; Thymol]","GA Company ",""
"","Sinex","[Camphor 2.5% ; Menthol 2% ; Oil Clove 2.5% ; Oil Eucalyptus]","Cosmic Chemical Industries ",""
"","Sinex","[Camphor 2.5% ; Menthol 2% ; Oil Clove 2.5% ; Oil Eucalyptus]","Cosmic Chemical Industries ",""
"","Vaporex","[Camphor 2.5% ; Menthol 2% ; Oil Clove 2.5% ; Oil Eucalyptus]","Hallmark Pharmaceuticals ",""
"","Giran H","[Candesartan Cilexetil ; Hydrochlorothiazide]","Aristopharma ",""
"","Arb","[Candesartan Cilexetil]","Square Pharmaceuticals ",""
"","Arb","[Candesartan Cilexetil]","Square Pharmaceuticals ",""
"","Giran","[Candesartan Cilexetil]","Aristopharma ",""
"","Giran","[Candesartan Cilexetil]","Aristopharma ",""
"","Vesotan","[Candesartan Cilexetil]","Rangs Pharmaceuticals ",""
"","Vesotan","[Candesartan Cilexetil]","Rangs Pharmaceuticals ",""
"","Captabine","[Capecitabine]","Techno Drugs ",""
"","Captabine","[Capecitabine]","Techno Drugs ",""
"","Xeloda","[Capecitabine]","F. Hoffmann La Roche, Switzerland",""
"","Xeloda","[Capecitabine]","F. Hoffmann La Roche, Switzerland",""
"","Xitabin","[Capecitabine]","Beacon Pharmaceuticals ",""
"","Physiogel cream","[Caprylic ; Capric Triglyceride]","Glaxo SmithKline Bangladesh ",""
"","Physiogel lotion","[Caprylic ; Capric Triglyceride]","Glaxo SmithKline Bangladesh ",""
"","Capsi","[Capsaicin 0.025%]","Square Pharmaceuticals ",""
"","Ostocin","[Capsaicin 0.025%]","General Pharmaceuticals ",""
"","Topicacin","[Capsaicin 0.025%]","Incepta Pharmaceuticals ",""
"","Acetor","[Captopril]","Drug International Ltd.",""
"","Angiten","[Captopril]","Ibn Sina Pharmaceutical",""
"","Capotril","[Captopril]","Alco Pharma ",""
"","Capril","[Captopril]","Opsonin Pharma ",""
"","Capril","[Captopril]","Opsonin Pharma ",""
"","Cardopril","[Captopril]","Beximco Pharmaceuticals ",""
"","Cardopril","[Captopril]","Beximco Pharmaceuticals ",""
"","Catopil","[Captopril]","Zenith Pharmaceuticals ",""
"","Catopil","[Captopril]","Zenith Pharmaceuticals ",""
"","Topril","[Captopril]","Jayson Pharmaceuticals ",""
"","Anleptic","[Carbamazepine]","Square Pharmaceuticals ",""
"","Anleptic","[Carbamazepine]","Square Pharmaceuticals ",""
"","Anleptic CR","[Carbamazepine]","Square Pharmaceuticals ",""
"","Cabretol","[Carbamazepine]","Renata ",""
"","Cabretol","[Carbamazepine]","Renata ",""
"","Cabretol CR","[Carbamazepine]","Renata ",""
"","Carbazin","[Carbamazepine]","Eskayef Bangladesh",""
"","Carbazin CR","[Carbamazepine]","Eskayef Bangladesh",""
"","Carbazin-CR","[Carbamazepine]","Eskayef Bangladesh",""
"","Carbocontin","[Carbamazepine]","Mundipharma",""
"","Carmapine","[Carbamazepine]","Incepta Pharmaceuticals ",""
"","Carmapine","[Carbamazepine]","Incepta Pharmaceuticals ",""
"","Carmapine CR","[Carbamazepine]","Incepta Pharmaceuticals ",""
"","Carmaz","[Carbamazepine]","Aristopharma ",""
"","Cazep","[Carbamazepine]","Opsonin Pharma ",""
"","Cepilep","[Carbamazepine]","ACI ltd.",""
"","Epilep","[Carbamazepine]","Beximco Pharmaceuticals ",""
"","Epilep CR","[Carbamazepine]","Beximco Pharmaceuticals ",""
"","Tegretol","[Carbamazepine]","Novartis",""
"","Tegretol","[Carbamazepine]","Novartis",""
"","Tegretol 2%","[Carbamazepine]","Novartis Pharma SA, France",""
"","Tegretol CR","[Carbamazepine]","Novartis",""
"","Zeptol","[Carbamazepine]","Sun Pharmaceutical",""
"","Zeptol CR","[Carbamazepine]","Sun Pharmaceutical",""
"","Zeptol CR","[Carbamazepine]","Sun Pharmaceutical",""
"","Tridopa 100","[Carbidopa ; Entacapone ; Levodopa]","ACI ltd.",""
"","Tridopa 150","[Carbidopa ; Entacapone ; Levodopa]","ACI ltd.",""
"","Tridopa 200","[Carbidopa ; Entacapone ; Levodopa]","ACI ltd.",""
"","Tridopa 50","[Carbidopa ; Entacapone ; Levodopa]","ACI ltd.",""
"","Co Dopa 110","[Carbidopa ; Levodopa]","Unimed & Unihealth Manufacturers ",""
"","Co Dopa 275","[Carbidopa ; Levodopa]","Unimed & Unihealth Manufacturers ",""
"","D-Dopa 110","[Carbidopa ; Levodopa]","Drug International Ltd.",""
"","D-Dopa Plus","[Carbidopa ; Levodopa]","Drug International Ltd.",""
"","Levopa 110","[Carbidopa ; Levodopa]","Acme Laboratories ",""
"","Levopa 275","[Carbidopa ; Levodopa]","Acme Laboratories ",""
"","Syndopa 110","[Carbidopa ; Levodopa]","Sun Pharmaceutical",""
"","Syndopa 275","[Carbidopa ; Levodopa]","Sun Pharmaceutical",""
"","Carbiroid","[Carbimazole]","White Horse Pharma",""
"","Carbizol","[Carbimazole]","Square Pharmaceuticals ",""
"","Carbolin","[Carbocisteine]","Eskayef Bangladesh",""
"","Carbolin","[Carbocisteine]","Eskayef Bangladesh",""
"","Carbolin DS","[Carbocisteine]","Eskayef Bangladesh",""
"","Carboten DS 10","[Carbocisteine]","Amico Laboratories ",""
"","Flegnil","[Carbocisteine]","Orion Pharma ",""
"","Flegnil DS","[Carbocisteine]","Orion Pharma ",""
"","Mucolex","[Carbocisteine]","General Pharmaceuticals ",""
"","Nokof","[Carbocisteine]","Beximco Pharmaceuticals ",""
"","Nokof","[Carbocisteine]","Beximco Pharmaceuticals ",""
"","Nokof DS","[Carbocisteine]","Beximco Pharmaceuticals ",""
"","Tulsi","[Carbocisteine]","Euro Pharma ",""
"","Carbomet","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Somatec Pharmaceuticals ",""
"","Civic-ZF","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Kumudini Pharma ",""
"","EPL plus","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Globe Pharmaceuticals ",""
"","Famina Z","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Silva Pharmaceuticals ",""
"","Femavit Forte","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Novelta Bestway Pharmaceuticals ",""
"","Feocron PLUS","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Novo Healthcare and Pharma ",""
"","Fer-V","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Organic Health Care",""
"","Karbon-5","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Central Pharmaceutical ",""
"","Maxiron","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Apex Pharmaceuticals ",""
"","Momneed","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Acme Laboratories ",""
"","Omnivit","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Beximco Pharmaceuticals ",""
"","Syn-Z","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Syntho Laboratories ",""
"","Xvit","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Beacon Pharmaceuticals ",""
"","Zif Forte TR","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Square Pharmaceuticals ",""
"","Zilvit","[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]","Eskayef Bangladesh",""
"","Animet","[Carbonyl Iron ; Folic Acid ; Zinc]","Asiatic Laboratories ",""
"","Biofez","[Carbonyl Iron ; Folic Acid ; Zinc]","Jayson Pharmaceuticals ",""
"","Carofol Z","[Carbonyl Iron ; Folic Acid ; Zinc]","Beximco Pharmaceuticals ",""
"","Dfaz-CI","[Carbonyl Iron ; Folic Acid ; Zinc]","Acme Laboratories ",""
"","Enazif","[Carbonyl Iron ; Folic Acid ; Zinc]","Virgo Pharmaceuticals ",""
"","Feocron","[Carbonyl Iron ; Folic Acid ; Zinc]","Novo Healthcare and Pharma ",""
"","Ferix","[Carbonyl Iron ; Folic Acid ; Zinc]","Renata ",""
"","Feropreg TR","[Carbonyl Iron ; Folic Acid ; Zinc]","Amico Laboratories ",""
"","Fer-Z","[Carbonyl Iron ; Folic Acid ; Zinc]","Organic Health Care",""
"","Fezin CR","[Carbonyl Iron ; Folic Acid ; Zinc]","Rephco Pharmaceuticals ",""
"","Glory","[Carbonyl Iron ; Folic Acid ; Zinc]","Orion Pharma ",""
"","Hemo Plus","[Carbonyl Iron ; Folic Acid ; Zinc]","Zenith Pharmaceuticals ",""
"","Pregmin Z","[Carbonyl Iron ; Folic Acid ; Zinc]","Rangs Pharmaceuticals ",""
"","Prenat CI","[Carbonyl Iron ; Folic Acid ; Zinc]","Healthcare Pharmaceuticals ",""
"","Prenatal","[Carbonyl Iron ; Folic Acid ; Zinc]","Silva Pharmaceuticals ",""
"","Preneed-CI","[Carbonyl Iron ; Folic Acid ; Zinc]","Incepta Pharmaceuticals ",""
"","Zeefol CI","[Carbonyl Iron ; Folic Acid ; Zinc]","Eskayef Bangladesh",""
"","Zif-CI TR","[Carbonyl Iron ; Folic Acid ; Zinc]","Square Pharmaceuticals ",""
"","Zifocap","[Carbonyl Iron ; Folic Acid ; Zinc]","Nuvista Pharma Ltd",""
"","Zifonyl","[Carbonyl Iron ; Folic Acid ; Zinc]","Kumudini Pharma ",""
"","Feofol CI","[Carbonyl Iron ; Folic Acid]","Eskayef Bangladesh",""
"","Feofol CL","[Carbonyl Iron ; Folic Acid]","Eskayef Bangladesh",""
"","Pregmin","[Carbonyl Iron ; Folic Acid]","Rangs Pharmaceuticals ",""
"","Carboplat","[Carboplatin]","Beacon Pharmaceuticals ",""
"","Carboplat","[Carboplatin]","Beacon Pharmaceuticals ",""
"","Carboplatin Hexal","[Carboplatin]","Hexal ag Germany",""
"","Carboplatin Hexal","[Carboplatin]","Hexal ag Germany",""
"","Carboplatin Hexal","[Carboplatin]","Hexal ag Germany",""
"","Carboplatin Hexal","[Carboplatin]","Novartis",""
"","Carboplatin Hexal","[Carboplatin]","Novartis",""
"","Carboplatin Hexal","[Carboplatin]","Novartis",""
"","Carbotin","[Carboplatin]","Techno Drugs ",""
"","Carbotin","[Carboplatin]","Techno Drugs ",""
"","Duratocin","[Carboplatin]","Beacon Pharmaceuticals ",""
"","Neotear","[Carboxymethylcellulose Sodium ;  Glycerine  :(EP)]","Aristopharma ",""
"","Lubric Extra","[Carboxymethylcellulose Sodium 0.25% ; Hypromellose 0.3% :(EP)]","Incepta Pharmaceuticals ",""
"","Arilol","[Carvedilol]","Pacific Pharmaceuticals ",""
"","Arilol","[Carvedilol]","Pacific Pharmaceuticals ",""
"","Arilol","[Carvedilol]","Pacific Pharmaceuticals ",""
"","Avidol","[Carvedilol]","Ad din Pharmaceuticals ",""
"","Cardex","[Carvedilol]","Opsonin Pharma ",""
"","Cardex","[Carvedilol]","Opsonin Pharma ",""
"","Cardex","[Carvedilol]","Opsonin Pharma ",""
"","Cardivas","[Carvedilol]","Sun Pharmaceutical",""
"","Cardivas","[Carvedilol]","Sun Pharmaceutical",""
"","Carved","[Carvedilol]","Bio Pharma Laboratories ",""
"","Carved","[Carvedilol]","Bio Pharma Laboratories ",""
"","Carvedilol","[Carvedilol]","Bio Pharma Laboratories ",""
"","Carvetab","[Carvedilol]","Medimet Pharmaceuticals ",""
"","Carvetab","[Carvedilol]","Medimet Pharmaceuticals ",""
"","Carvicor","[Carvedilol]","RAK Pharmaceuticals ",""
"","Carvicor","[Carvedilol]","RAK Pharmaceuticals ",""
"","Carvicor","[Carvedilol]","RAK Pharmaceuticals ",""
"","Carvida","[Carvedilol]","Delta Pharma ",""
"","Carvida","[Carvedilol]","Delta Pharma ",""
"","Carvipress","[Carvedilol]","Acme Laboratories ",""
"","Carvipress","[Carvedilol]","Acme Laboratories ",""
"","Carvipress","[Carvedilol]","Acme Laboratories ",""
"","Carvista","[Carvedilol]","Incepta Pharmaceuticals ",""
"","Carvista","[Carvedilol]","Incepta Pharmaceuticals ",""
"","Carvista","[Carvedilol]","Incepta Pharmaceuticals ",""
"","Cavelon","[Carvedilol]","Drug International Ltd.",""
"","Cavelon","[Carvedilol]","Drug International Ltd.",""
"","Cravex","[Carvedilol]","Bio Pharma Laboratories ",""
"","Cravex","[Carvedilol]","Bio Pharma Laboratories ",""
"","Cravex","[Carvedilol]","Bio Pharma Laboratories ",""
"","Dilapress","[Carvedilol]","Beximco Pharmaceuticals ",""
"","Dilapress","[Carvedilol]","Beximco Pharmaceuticals ",""
"","Dilapress","[Carvedilol]","Beximco Pharmaceuticals ",""
"","Dilatrend","[Carvedilol]","Radiant Pharmaceutical ",""
"","Dilatrend","[Carvedilol]","Radiant Pharmaceutical ",""
"","Dilgard","[Carvedilol]","General Pharmaceuticals ",""
"","Dilgard","[Carvedilol]","General Pharmaceuticals ",""
"","Dilgard","[Carvedilol]","General Pharmaceuticals ",""
"","Dilocard","[Carvedilol]","White Horse Pharma",""
"","Dilocard","[Carvedilol]","White Horse Pharma",""
"","Dilol","[Carvedilol]","Mystic Pharmaceuticals ",""
"","Dilol","[Carvedilol]","Mystic Pharmaceuticals ",""
"","Diola","[Carvedilol]","Novartis",""
"","Diola","[Carvedilol]","Novartis",""
"","Diola","[Carvedilol]","Novartis",""
"","Durol","[Carvedilol]","Square Pharmaceuticals ",""
"","Durol","[Carvedilol]","Square Pharmaceuticals ",""
"","Durol","[Carvedilol]","Square Pharmaceuticals ",""
"","Durol-CR","[Carvedilol]","Square Pharmaceuticals ",""
"","Durol-CR","[Carvedilol]","Square Pharmaceuticals ",""
"","Exepress","[Carvedilol]","Opsonin Pharma ",""
"","Exepress","[Carvedilol]","Opsonin Pharma ",""
"","Exepress","[Carvedilol]","Opsonin Pharma ",""
"","Exepress","[Carvedilol]","Opsonin Pharma ",""
"","Karvedil","[Carvedilol]","ACI ltd.",""
"","Karvedil","[Carvedilol]","ACI ltd.",""
"","Karvedil","[Carvedilol]","ACI ltd.",""
"","Koreg","[Carvedilol]","Silva Pharmaceuticals ",""
"","Koreg","[Carvedilol]","Silva Pharmaceuticals ",""
"","Koreg","[Carvedilol]","Silva Pharmaceuticals ",""
"","Revodil","[Carvedilol]","Ibn Sina Pharmaceutical",""
"","Rovedilol","[Carvedilol]","Healthcare Pharmaceuticals ",""
"","Rovedilol","[Carvedilol]","Healthcare Pharmaceuticals ",""
"","Ucardol","[Carvedilol]","Unimed & Unihealth Manufacturers ",""
"","Ucardol","[Carvedilol]","Unimed & Unihealth Manufacturers ",""
"","Ucardol","[Carvedilol]","Unimed & Unihealth Manufacturers ",""
"","Vedilol","[Carvedilol]","Eskayef Bangladesh",""
"","Vedilol","[Carvedilol]","Eskayef Bangladesh",""
"","Vedilol","[Carvedilol]","Eskayef Bangladesh",""
"","Vesodil","[Carvedilol]","Rangs Pharmaceuticals ",""
"","Vesodil","[Carvedilol]","Rangs Pharmaceuticals ",""
"","Vesodil","[Carvedilol]","Rangs Pharmaceuticals ",""
"","Abaclor","[Cefaclor]","ACI ltd.",""
"","Abaclor","[Cefaclor]","ACI ltd.",""
"","Abaclor","[Cefaclor]","ACI ltd.",""
"","Abaclor Pd","[Cefaclor]","ACI ltd.",""
"","Alclor","[Cefaclor]","Acme Laboratories ",""
"","Alclor","[Cefaclor]","Acme Laboratories ",""
"","Alclor","[Cefaclor]","Acme Laboratories ",""
"","Alclor","[Cefaclor]","Acme Laboratories ",""
"","Alclor","[Cefaclor]","Acme Laboratories ",""
"","Biocef","[Cefaclor]","Novartis",""
"","Biocef","[Cefaclor]","Novartis",""
"","Biocef","[Cefaclor]","Novartis",""
"","Ceclor","[Cefaclor]","Eli Lilly and Company, USA",""
"","Ceclor","[Cefaclor]","Eli Lilly and Company, USA",""
"","Ceclor CD","[Cefaclor]","Eli Lilly and Company, USA",""
"","Ceflon","[Cefaclor]","Eskayef Bangladesh",""
"","Ceflon","[Cefaclor]","Eskayef Bangladesh",""
"","Ceflon","[Cefaclor]","Eskayef Bangladesh",""
"","Ceflon","[Cefaclor]","Eskayef Bangladesh",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Cefticlor","[Cefaclor]","Renata ",""
"","Clobac","[Cefaclor]","Opsonin Pharma ",""
"","Clobac","[Cefaclor]","Opsonin Pharma ",""
"","Loracef","[Cefaclor]","Square Pharmaceuticals ",""
"","Loracef","[Cefaclor]","Square Pharmaceuticals ",""
"","Loracef","[Cefaclor]","Square Pharmaceuticals ",""
"","Navacef","[Cefaclor]","Navana Pharmaceuticals ",""
"","Navacef","[Cefaclor]","Navana Pharmaceuticals ",""
"","Navacef","[Cefaclor]","Navana Pharmaceuticals ",""
"","Navacef","[Cefaclor]","Navana Pharmaceuticals ",""
"","Oticlor","[Cefaclor]","Incepta Pharmaceuticals ",""
"","Oticlor","[Cefaclor]","Incepta Pharmaceuticals ",""
"","Oticlor","[Cefaclor]","Incepta Pharmaceuticals ",""
"","Adocef","[Cefadroxil]","Ziska Pharmaceuticals ",""
"","Adocef","[Cefadroxil]","Ziska Pharmaceuticals ",""
"","Adocil","[Cefadroxil]","Kemiko Pharmaceuticals ",""
"","Adocil","[Cefadroxil]","Kemiko Pharmaceuticals ",""
"","Adora","[Cefadroxil]","Incepta Pharmaceuticals ",""
"","Adora","[Cefadroxil]","Incepta Pharmaceuticals ",""
"","Adora","[Cefadroxil]","Incepta Pharmaceuticals ",""
"","Adora","[Cefadroxil]","Incepta Pharmaceuticals ",""
"","Adora DS","[Cefadroxil]","Incepta Pharmaceuticals ",""
"","Arocef","[Cefadroxil]","Eskayef Bangladesh",""
"","Arocef","[Cefadroxil]","Eskayef Bangladesh",""
"","Arocef","[Cefadroxil]","Eskayef Bangladesh",""
"","Bexan","[Cefadroxil]","JMI Pharma",""
"","Bexan","[Cefadroxil]","JMI Pharma",""
"","Cedril","[Cefadroxil]","ACI ltd.",""
"","Cedril","[Cefadroxil]","ACI ltd.",""
"","Cefador","[Cefadroxil]","Somatec Pharmaceuticals ",""
"","Cefador","[Cefadroxil]","Somatec Pharmaceuticals ",""
"","Cefador","[Cefadroxil]","Somatec Pharmaceuticals ",""
"","Cefcare","[Cefadroxil]","Navana Pharmaceuticals ",""
"","Cefcare","[Cefadroxil]","Navana Pharmaceuticals ",""
"","Cefcare","[Cefadroxil]","Navana Pharmaceuticals ",""
"","Droxil","[Cefadroxil]","Rangs Pharmaceuticals ",""
"","Droxil","[Cefadroxil]","Rangs Pharmaceuticals ",""
"","Droxil","[Cefadroxil]","Rangs Pharmaceuticals ",""
"","Ficef","[Cefadroxil]","Unimed & Unihealth Manufacturers ",""
"","Ficef","[Cefadroxil]","Unimed & Unihealth Manufacturers ",""
"","Ficef","[Cefadroxil]","Unimed & Unihealth Manufacturers ",""
"","Sefadol","[Cefadroxil]","Techno Drugs ",""
"","Sefadol","[Cefadroxil]","Techno Drugs ",""
"","Sefanid","[Cefadroxil]","Drug International Ltd.",""
"","Sefanid","[Cefadroxil]","Drug International Ltd.",""
"","Trubid","[Cefadroxil]","Opsonin Pharma ",""
"","Trubid","[Cefadroxil]","Opsonin Pharma ",""
"","Trubid","[Cefadroxil]","Opsonin Pharma ",""
"","Trubid","[Cefadroxil]","Opsonin Pharma ",""
"","Trubid DS","[Cefadroxil]","Opsonin Pharma ",""
"","Twicef","[Cefadroxil]","Acme Laboratories ",""
"","Twicef","[Cefadroxil]","Acme Laboratories ",""
"","Twicef","[Cefadroxil]","Acme Laboratories ",""
"","Twicef DS","[Cefadroxil]","Acme Laboratories ",""
"","Adinir","[Cefdinir]","Acme Laboratories ",""
"","Adinir","[Cefdinir]","Acme Laboratories ",""
"","Cednir","[Cefdinir]","Eskayef Bangladesh",""
"","Cednir DS","[Cefdinir]","Eskayef Bangladesh",""
"","Cefida","[Cefdinir]","Beximco Pharmaceuticals ",""
"","Cefida","[Cefdinir]","Beximco Pharmaceuticals ",""
"","Efdinir","[Cefdinir]","Incepta Pharmaceuticals ",""
"","Efdinir","[Cefdinir]","Incepta Pharmaceuticals ",""
"","Palcef","[Cefdinir]","Renata ",""
"","Palcef","[Cefdinir]","Renata ",""
"","Palcef","[Cefdinir]","Renata ",""
"","Palcef DS","[Cefdinir]","Renata ",""
"","Ridicef","[Cefdinir]","Navana Pharmaceuticals ",""
"","Ridicef","[Cefdinir]","Navana Pharmaceuticals ",""
"","Cefditor","[Cefditoren]","Orion Pharma ",""
"","Cefa 4 IV/IM","[Cefepime]","Popular Pharmaceuticals ",""
"","Cefa 4 IV/IM","[Cefepime]","Popular Pharmaceuticals ",""
"","Cefa 4 IV/IM","[Cefepime]","Popular Pharmaceuticals ",""
"","Ceftipime IV/IM","[Cefepime]","Renata ",""
"","Ceftipime IV/IM","[Cefepime]","Renata ",""
"","Ceftipime IV/IM","[Cefepime]","Renata ",""
"","Efepime IV/IM","[Cefepime]","Ziska Pharmaceuticals ",""
"","Efepime IV/IM","[Cefepime]","Ziska Pharmaceuticals ",""
"","Efepime IV/IM","[Cefepime]","Ziska Pharmaceuticals ",""
"","Forgen IV/IM","[Cefepime]","Aristopharma ",""
"","Forgen IV/IM","[Cefepime]","Aristopharma ",""
"","Forgen IV/IM","[Cefepime]","Aristopharma ",""
"","Gen 4 IV/IM","[Cefepime]","Ibn Sina Pharmaceutical",""
"","Gen 4 IV/IM","[Cefepime]","Ibn Sina Pharmaceutical",""
"","Gen 4 IV/IM","[Cefepime]","Ibn Sina Pharmaceutical",""
"","Japime IM / IV","[Cefepime]","Jayson Pharmaceuticals ",""
"","Maxpime IV/IM","[Cefepime]","Square Cephalosporins ",""
"","Maxpime IV/IM","[Cefepime]","Square Cephalosporins ",""
"","Maxpime IV/IM","[Cefepime]","Square Cephalosporins ",""
"","Megapime IV/IM","[Cefepime]","Eskayef Bangladesh",""
"","Megapime IV/IM","[Cefepime]","Eskayef Bangladesh",""
"","Megapime IV/IM","[Cefepime]","Eskayef Bangladesh",""
"","Pime-4 IV/IM","[Cefepime]","ACI ltd.",""
"","Pime-4 IV/IM","[Cefepime]","ACI ltd.",""
"","Pime-4 IV/IM","[Cefepime]","ACI ltd.",""
"","Superpime IV/IM","[Cefepime]","Acme Laboratories ",""
"","Superpime IV/IM","[Cefepime]","Acme Laboratories ",""
"","Superpime IV/IM","[Cefepime]","Acme Laboratories ",""
"","Tetracef IV/IM","[Cefepime]","Beximco Pharmaceuticals ",""
"","Tetracef IV/IM","[Cefepime]","Beximco Pharmaceuticals ",""
"","Tetracef IV/IM","[Cefepime]","Beximco Pharmaceuticals ",""
"","Tupime IV/IM","[Cefepime]","Kemiko Pharmaceuticals ",""
"","Ultrapime IV/IM","[Cefepime]","Incepta Pharmaceuticals ",""
"","Ultrapime IV/IM","[Cefepime]","Incepta Pharmaceuticals ",""
"","Unipim IV/IM","[Cefepime]","Drug International Ltd.",""
"","Unipim IV/IM","[Cefepime]","Drug International Ltd.",""
"","Winnipime IV/IM","[Cefepime]","Sanofi Aventis",""
"","Winnipime IV/IM","[Cefepime]","Sanofi Aventis",""
"","Winnipime IV/IM","[Cefepime]","Sanofi Aventis",""
"","Xenim IV/IM","[Cefepime]","Opsonin Pharma ",""
"","Xenim IV/IM","[Cefepime]","Opsonin Pharma ",""
"","Ximepime IV/IM","[Cefepime]","Globe Pharmaceuticals ",""
"","Ximepime IV/IM","[Cefepime]","Globe Pharmaceuticals ",""
"","Tenafet","[Cefetamet Pivoxil Hydrochloride]","Incepta Pharmaceuticals ",""
"","Tenafet","[Cefetamet Pivoxil Hydrochloride]","Incepta Pharmaceuticals ",""
"","Tenafet","[Cefetamet Pivoxil Hydrochloride]","Incepta Pharmaceuticals ",""
"","Tenafet","[Cefetamet Pivoxil Hydrochloride]","Incepta Pharmaceuticals ",""
"","3-C","[Cefixime]","Edruc ",""
"","3-Geocef","[Cefixime]","Hallmark Pharmaceuticals ",""
"","3rd Cef","[Cefixime]","Medimet Pharmaceuticals ",""
"","3rd Cef","[Cefixime]","Medimet Pharmaceuticals ",""
"","3rd Cef","[Cefixime]","Medimet Pharmaceuticals ",""
"","3rd Cef","[Cefixime]","Medimet Pharmaceuticals ",""
"","Adexim","[Cefixime]","Supreme Pharmaceuticals ",""
"","Adexim","[Cefixime]","Supreme Pharmaceuticals ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix","[Cefixime]","Aristopharma ",""
"","Afix DS","[Cefixime]","Aristopharma ",""
"","Afix DS","[Cefixime]","Aristopharma ",""
"","Afixime","[Cefixime]","Asiatic Laboratories ",""
"","Afixime","[Cefixime]","Asiatic Laboratories ",""
"","Antima","[Cefixime]","Jayson Pharmaceuticals ",""
"","Antima","[Cefixime]","Jayson Pharmaceuticals ",""
"","Antima","[Cefixime]","Jayson Pharmaceuticals ",""
"","Bestcef","[Cefixime]","Bio Pharma Laboratories ",""
"","Bestcef","[Cefixime]","Bio Pharma Laboratories ",""
"","Bestcef","[Cefixime]","Bio Pharma Laboratories ",""
"","Bestcef","[Cefixime]","Bio Pharma Laboratories ",""
"","Bioxim","[Cefixime]","Sharif Pharmaceuticals ",""
"","Bioxim","[Cefixime]","Sharif Pharmaceuticals ",""
"","Bioxim","[Cefixime]","Sharif Pharmaceuticals ",""
"","Bioxim","[Cefixime]","Sharif Pharmaceuticals ",""
"","C - 3","[Cefixime]","Edruc ",""
"","Cebex","[Cefixime]","Novo Healthcare and Pharma ",""
"","Cebex","[Cefixime]","Novo Healthcare and Pharma ",""
"","Cebex","[Cefixime]","Novo Healthcare and Pharma ",""
"","Cef PLUS","[Cefixime]","Hudson Pharmaceuticals ",""
"","Cef PLUS","[Cefixime]","Hudson Pharmaceuticals ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3","[Cefixime]","Square Cephalosporins ",""
"","Cef-3 DS","[Cefixime]","Square Cephalosporins ",""
