brand_id,brand_name,brand_manufacturer,brand_generic
,Omnivit,Beximco Pharmaceuticals ,[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]
,Syn-Z,Syntho Laboratories ,[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]
,Xvit,Beacon Pharmaceuticals ,[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]
,Zif Forte TR,Square Pharmaceuticals ,[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]
,Zilvit,Eskayef Bangladesh,[Carbonyl Iron ; Folic acid ; Vitamin B complex ; Vitamin C ; Zinc]
,Animet,Asiatic Laboratories ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Biofez,Jayson Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Carofol Z,Beximco Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Dfaz-CI,Acme Laboratories ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Enazif,Virgo Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Feocron,Novo Healthcare and Pharma ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Ferix,Renata ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Feropreg TR,Amico Laboratories ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Fer-Z,Organic Health Care,[Carbonyl Iron ; Folic Acid ; Zinc]
,Fezin CR,Rephco Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Glory,Orion Pharma ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Hemo Plus,Zenith Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Pregmin Z,Rangs Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Prenat CI,Healthcare Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Prenatal,Silva Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Preneed-CI,Incepta Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Zeefol CI,Eskayef Bangladesh,[Carbonyl Iron ; Folic Acid ; Zinc]
,Zif-CI TR,Square Pharmaceuticals ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Zifocap,Nuvista Pharma Ltd,[Carbonyl Iron ; Folic Acid ; Zinc]
,Zifonyl,Kumudini Pharma ,[Carbonyl Iron ; Folic Acid ; Zinc]
,Feofol CI,Eskayef Bangladesh,[Carbonyl Iron ; Folic Acid]
,Feofol CL,Eskayef Bangladesh,[Carbonyl Iron ; Folic Acid]
,Pregmin,Rangs Pharmaceuticals ,[Carbonyl Iron ; Folic Acid]
,Carboplat,Beacon Pharmaceuticals ,[Carboplatin]
,Carboplatin Hexal,Hexal ag Germany,[Carboplatin]
,Carboplatin Hexal,Novartis,[Carboplatin]
,Carbotin,Techno Drugs ,[Carboplatin]
,Duratocin,Beacon Pharmaceuticals ,[Carboplatin]
,Neotear,Aristopharma ,[Carboxymethylcellulose Sodium ;  Glycerine  :(EP)]
,Lubric Extra,Incepta Pharmaceuticals ,[Carboxymethylcellulose Sodium 0.25% ; Hypromellose 0.3% :(EP)]
,Arilol,Pacific Pharmaceuticals ,[Carvedilol]
,Avidol,Ad din Pharmaceuticals ,[Carvedilol]
,Cardex,Opsonin Pharma ,[Carvedilol]
,Cardivas,Sun Pharmaceutical,[Carvedilol]
,Carved,Bio Pharma Laboratories ,[Carvedilol]
,Carvedilol,Bio Pharma Laboratories ,[Carvedilol]
,Carvetab,Medimet Pharmaceuticals ,[Carvedilol]
,Carvicor,RAK Pharmaceuticals ,[Carvedilol]
,Carvida,Delta Pharma ,[Carvedilol]
,Carvipress,Acme Laboratories ,[Carvedilol]
,Carvista,Incepta Pharmaceuticals ,[Carvedilol]
,Cavelon,Drug International Ltd.,[Carvedilol]
,Cravex,Bio Pharma Laboratories ,[Carvedilol]
,Dilapress,Beximco Pharmaceuticals ,[Carvedilol]
,Dilatrend,Radiant Pharmaceutical ,[Carvedilol]
,Dilgard,General Pharmaceuticals ,[Carvedilol]
,Dilocard,White Horse Pharma,[Carvedilol]
,Dilol,Mystic Pharmaceuticals ,[Carvedilol]
,Diola,Novartis,[Carvedilol]
,Durol,Square Pharmaceuticals ,[Carvedilol]
,Durol-CR,Square Pharmaceuticals ,[Carvedilol]
,Exepress,Opsonin Pharma ,[Carvedilol]
,Karvedil,ACI ltd.,[Carvedilol]
,Koreg,Silva Pharmaceuticals ,[Carvedilol]
,Revodil,Ibn Sina Pharmaceutical,[Carvedilol]
,Rovedilol,Healthcare Pharmaceuticals ,[Carvedilol]
,Ucardol,Unimed & Unihealth Manufacturers ,[Carvedilol]
,Vedilol,Eskayef Bangladesh,[Carvedilol]
,Vesodil,Rangs Pharmaceuticals ,[Carvedilol]
,Abaclor,ACI ltd.,[Cefaclor]
,Abaclor Pd,ACI ltd.,[Cefaclor]
,Alclor,Acme Laboratories ,[Cefaclor]
,Biocef,Novartis,[Cefaclor]
,Ceclor,"Eli Lilly and Company, USA",[Cefaclor]
,Ceclor CD,"Eli Lilly and Company, USA",[Cefaclor]
,Ceflon,Eskayef Bangladesh,[Cefaclor]
,Cefticlor,Renata ,[Cefaclor]
,Clobac,Opsonin Pharma ,[Cefaclor]
,Loracef,Square Pharmaceuticals ,[Cefaclor]
,Navacef,Navana Pharmaceuticals ,[Cefaclor]
,Oticlor,Incepta Pharmaceuticals ,[Cefaclor]
,Adocef,Ziska Pharmaceuticals ,[Cefadroxil]
,Adocil,Kemiko Pharmaceuticals ,[Cefadroxil]
,Adora,Incepta Pharmaceuticals ,[Cefadroxil]
,Adora DS,Incepta Pharmaceuticals ,[Cefadroxil]
,Arocef,Eskayef Bangladesh,[Cefadroxil]
,Bexan,JMI Pharma,[Cefadroxil]
,Cedril,ACI ltd.,[Cefadroxil]
,Cefador,Somatec Pharmaceuticals ,[Cefadroxil]
,Cefcare,Navana Pharmaceuticals ,[Cefadroxil]
,Droxil,Rangs Pharmaceuticals ,[Cefadroxil]
,Ficef,Unimed & Unihealth Manufacturers ,[Cefadroxil]
,Sefadol,Techno Drugs ,[Cefadroxil]
,Sefanid,Drug International Ltd.,[Cefadroxil]
,Trubid,Opsonin Pharma ,[Cefadroxil]
,Trubid DS,Opsonin Pharma ,[Cefadroxil]
,Twicef,Acme Laboratories ,[Cefadroxil]
,Twicef DS,Acme Laboratories ,[Cefadroxil]
,Adinir,Acme Laboratories ,[Cefdinir]
,Cednir,Eskayef Bangladesh,[Cefdinir]
,Cednir DS,Eskayef Bangladesh,[Cefdinir]
,Cefida,Beximco Pharmaceuticals ,[Cefdinir]
,Efdinir,Incepta Pharmaceuticals ,[Cefdinir]
,Palcef,Renata ,[Cefdinir]
,Palcef DS,Renata ,[Cefdinir]
,Ridicef,Navana Pharmaceuticals ,[Cefdinir]
,Cefditor,Orion Pharma ,[Cefditoren]
,Cefa 4 IV/IM,Popular Pharmaceuticals ,[Cefepime]
,Ceftipime IV/IM,Renata ,[Cefepime]
,Efepime IV/IM,Ziska Pharmaceuticals ,[Cefepime]
,Forgen IV/IM,Aristopharma ,[Cefepime]
,Gen 4 IV/IM,Ibn Sina Pharmaceutical,[Cefepime]
,Japime IM / IV,Jayson Pharmaceuticals ,[Cefepime]
,Maxpime IV/IM,Square Cephalosporins ,[Cefepime]
,Megapime IV/IM,Eskayef Bangladesh,[Cefepime]
,Pime-4 IV/IM,ACI ltd.,[Cefepime]
,Superpime IV/IM,Acme Laboratories ,[Cefepime]
,Tetracef IV/IM,Beximco Pharmaceuticals ,[Cefepime]
,Tupime IV/IM,Kemiko Pharmaceuticals ,[Cefepime]
,Ultrapime IV/IM,Incepta Pharmaceuticals ,[Cefepime]
,Unipim IV/IM,Drug International Ltd.,[Cefepime]
,Winnipime IV/IM,Sanofi Aventis,[Cefepime]
,Xenim IV/IM,Opsonin Pharma ,[Cefepime]
,Ximepime IV/IM,Globe Pharmaceuticals ,[Cefepime]
,Tenafet,Incepta Pharmaceuticals ,[Cefetamet Pivoxil Hydrochloride]
,3-C,Edruc ,[Cefixime]
,3-Geocef,Hallmark Pharmaceuticals ,[Cefixime]
,3rd Cef,Medimet Pharmaceuticals ,[Cefixime]
,Adexim,Supreme Pharmaceuticals ,[Cefixime]
,Afix,Aristopharma ,[Cefixime]
,Afix DS,Aristopharma ,[Cefixime]
,Afixime,Asiatic Laboratories ,[Cefixime]
,Antima,Jayson Pharmaceuticals ,[Cefixime]
,Bestcef,Bio Pharma Laboratories ,[Cefixime]
,Bioxim,Sharif Pharmaceuticals ,[Cefixime]
,C - 3,Edruc ,[Cefixime]
,Cebex,Novo Healthcare and Pharma ,[Cefixime]
,Cef PLUS,Hudson Pharmaceuticals ,[Cefixime]
,Cef-3,Square Cephalosporins ,[Cefixime]
,Cef-3 DS,Square Cephalosporins ,[Cefixime]
,Cef-3 forte,Square Cephalosporins ,[Cefixime]
,Cefadyl,Kumudini Pharma ,[Cefixime]
,Ceferon-3,Aexim Pharmaceuticals ,[Cefixime]
,Cefesta,APC Pharma ,[Cefixime]
,Ceficap,Euro Pharma ,[Cefixime]
,Cefim,ACI ltd.,[Cefixime]
,Cefim-3,ACI ltd.,[Cefixime]
,Cefim-3 DS,ACI ltd.,[Cefixime]
,Cefix,Globe Pharmaceuticals ,[Cefixime]
,Cefixim,Ibn Sina Pharmaceutical,[Cefixime]
,Cefixime,Apollo Pharmaceutical Laboratories ,[Cefixime]
,Cefixime A,Ad din Pharmaceuticals ,[Cefixime]
,Cefmix,Monicopharma ,[Cefixime]
,Cefocef,Pharmadesh Laboratories ,[Cefixime]
,Cefocef DS,Pharmadesh Laboratories ,[Cefixime]
,Cefocef M,Pharmadesh Laboratories ,[Cefixime]
,Ceftid,Opsonin Pharma ,[Cefixime]
,Ceftid DS,Opsonin Pharma ,[Cefixime]
,Ceftid Paediatric drops,Opsonin Pharma ,[Cefixime]
,Cemix-3,Seema Pharmaceuticals ,[Cefixime]
,Cephoral,Labaid Pharmaceuticals ,[Cefixime]
,Cephoral-200,Labaid Pharmaceuticals ,[Cefixime]
,Cephoral-400,Labaid Pharmaceuticals ,[Cefixime]
,Cexime,Glaxo SmithKline Bangladesh ,[Cefixime]
,Defim 3,Decent Pharma Laboratories ,[Cefixime]
,Denvar,Healthcare Pharmaceuticals ,[Cefixime]
,Denver DS,Healthcare Pharmaceuticals ,[Cefixime]
,D-Fix,Desh Pharmaceuticals ,[Cefixime]
,Duracef,Navana Pharmaceuticals ,[Cefixime]
,Elexime,Reliance Pharmaceuticals ,[Cefixime]
,Emixef,Incepta Pharmaceuticals ,[Cefixime]
,Emixef DS,Incepta Pharmaceuticals ,[Cefixime]
,Evexim,Everest Pharmaceuticals ,[Cefixime]
,Excef,Chemist Laboratories ,[Cefixime]
,Exiben,Benham Pharmaceuticals ,[Cefixime]
,Fix A,Acme Laboratories ,[Cefixime]
,Fix A DS,Acme Laboratories ,[Cefixime]
,Fixbac,RAK Pharmaceuticals ,[Cefixime]
,Fixim,Reman Drug Laboratories ,[Cefixime]
,Fixim,Indobangla Pharmaceuticals,[Cefixime]
,Fixpro,NIPRO JMI Pharma ,[Cefixime]
,Fixpro 200,NIPRO JMI Pharma ,[Cefixime]
,Fixpro 400,NIPRO JMI Pharma ,[Cefixime]
,G Fix,GA Company ,[Cefixime]
,G-Cefixime,Gonoshasthaya Pharmaceuticals ,[Cefixime]
,Gen - 3,Amico Laboratories ,[Cefixime]
,Hyxim,Millat Pharmaceuticals ,[Cefixime]
,Kefim,Kemiko Pharmaceuticals ,[Cefixime]
,Keor,Rephco Pharmaceuticals ,[Cefixime]
,Keor DS,Rephco Pharmaceuticals ,[Cefixime]
,Keorsp,Rephco Pharmaceuticals ,[Cefixime]
,Kuracef,Sanofi Aventis,[Cefixime]
,Loxim,Techno Drugs ,[Cefixime]
,Loxim DS,Techno Drugs ,[Cefixime]
,Neofexim,Doctor's Chemicals Works ,[Cefixime]
,Neofix,Modern Pharmaceuticals ,[Cefixime]
,Ngcef,Rangs Pharmaceuticals ,[Cefixime]
,Novacef-200,Novus Pharmaceuticals ,[Cefixime]
,Odacef,Unimed & Unihealth Manufacturers ,[Cefixime]
,Ofex,Delta Pharma ,[Cefixime]
,Orcef,Renata ,[Cefixime]
,Orcef DS,Renata ,[Cefixime]
,Orfix,Mystic Pharmaceuticals ,[Cefixime]
,Prexim,Ziska Pharmaceuticals ,[Cefixime]
,Profix,Medicon Pharmaceuticals ,[Cefixime]
,Rescure,Marksman Pharmaceutical ,[Cefixime]
,Rofixim,Radiant Pharmaceutical ,[Cefixime]
,Roxim,Eskayef Bangladesh,[Cefixime]
,Roxim XL,Eskayef Bangladesh,[Cefixime]
,Roxim-L,Eskayef Bangladesh,[Cefixime]
,Roxim-M,Eskayef Bangladesh,[Cefixime]
,Roxim-S,Eskayef Bangladesh,[Cefixime]
,Sanfix,Nuvista Pharma Ltd,[Cefixime]
,Saver,Alco Pharma ,[Cefixime]
,Setic,Novartis,[Cefixime]
,Sonexim,SN Pharmaceuticals ,[Cefixime]
,Starcef,Beacon Pharmaceuticals ,[Cefixime]
,Suffix,Shamsul Al Amin Pharmaceuticals ,[Cefixime]
,Suffix-200,Shamsul Al Amin Pharmaceuticals ,[Cefixime]
,Suprax,Cosmic Chemical Industries ,[Cefixime]
,Suprax PFS,Cosmic Chemical Industries ,[Cefixime]
,Suprax-DS,Cosmic Chemical Industries ,[Cefixime]
,Supraxim,Silva Pharmaceuticals ,[Cefixime]
,T Cef,Drug International Ltd.,[Cefixime]
,T-Cef DS,Drug International Ltd.,[Cefixime]
,Texit,Apex Pharmaceuticals ,[Cefixime]
,Tgocef,Somatec Pharmaceuticals ,[Cefixime]
,Tocef,General Pharmaceuticals ,[Cefixime]
,Tricef,Ambee Pharmaceuticals ,[Cefixime]
,Tricef M,Ambee Pharmaceuticals ,[Cefixime]
,Trifix,Pacific Pharmaceuticals ,[Cefixime]
,Triocef-200,Nipa Pharmaceuticals ,[Cefixime]
,Triocim,Beximco Pharmaceuticals ,[Cefixime]
,Triocim DS,Beximco Pharmaceuticals ,[Cefixime]
,Truso,Orion Pharma ,[Cefixime]
,Truso DS,Orion Pharma ,[Cefixime]
,Tyfax,White Horse Pharma,[Cefixime]
,Unifix,Syntho Laboratories ,[Cefixime]
,Velofix,Pharmasia ,[Cefixime]
,Velofix DS,Pharmasia ,[Cefixime]
,Xifim,Bristol Pharma ,[Cefixime]
,Xylocef,Libra Pharmaceuticls ,[Cefixime]
,Zemicef,Popular Pharmaceuticals ,[Cefixime]
,Zemicef DS,Popular Pharmaceuticals ,[Cefixime]
,Zenicef,Zenith Pharmaceuticals ,[Cefixime]
,Cefot IV/IM,ACI ltd.,[Cefotaxime]
,Cefotax IV/IM,Renata ,[Cefotaxime]
,Cefotime IV/IM,Incepta Pharmaceuticals ,[Cefotaxime]
,Ceftax IV/IM,Opsonin Pharma ,[Cefotaxime]
,Cetaxim IV/IM,Globe Pharmaceuticals ,[Cefotaxime]
,Diabac,Drug International Ltd.,[Cefotaxime]
,Diabac IV/IM,Drug International Ltd.,[Cefotaxime]
,Maxcef IV/IM,Square Pharmaceuticals ,[Cefotaxime]
,Maxcef IV/IM,Square Cephalosporins ,[Cefotaxime]
,Taxceph IV/IM,Ibn Sina Pharmaceutical,[Cefotaxime]
,Taxim IV/IM,Acme Laboratories ,[Cefotaxime]
,Torped IV/IM,Orion Pharma ,[Cefotaxime]
,Force,Square Cephalosporins ,[Cefpirome]
,Duo-5,Incepta Pharmaceuticals ,[Cefpodoxime ; Clavulanic Acid]
,Duo-5 LS,Incepta Pharmaceuticals ,[Cefpodoxime ; Clavulanic Acid]
,Xtabac 100,Opsonin Pharma ,[Cefpodoxime ; Clavulanic Acid]
,Xtabac 200,Opsonin Pharma ,[Cefpodoxime ; Clavulanic Acid]
,Cedofax,White Horse Pharma,[Cefpodoxime]
,Cefdox,ACI ltd.,[Cefpodoxime]
,Cefdox DS,ACI ltd.,[Cefpodoxime]
,Cefipod,Asiatic Laboratories ,[Cefpodoxime]
,Cefobid,Unimed & Unihealth Manufacturers ,[Cefpodoxime]
,Cefodim,Pacific Pharmaceuticals ,[Cefpodoxime]
,Cefodox,Bristol Pharma ,[Cefpodoxime]
,Cefomin,Popular Pharmaceuticals ,[Cefpodoxime]
,Cefoprox,Leon Pharmaceuticals ,[Cefpodoxime]
,Ceforan,Drug International Ltd.,[Cefpodoxime]
,Ceforan-DS,Drug International Ltd.,[Cefpodoxime]
,Cepdoxim,Alco Pharma ,[Cefpodoxime]
,Cepoxid,Apex Pharmaceuticals ,[Cefpodoxime]
,Cepoxid DS,Apex Pharmaceuticals ,[Cefpodoxime]
,Cp,Acme Laboratories ,[Cefpodoxime]
,CP Paediatric Drops,Acme Laboratories ,[Cefpodoxime]
,Cp P-Dps,Acme Laboratories ,[Cefpodoxime]
,CP-DS,Acme Laboratories ,[Cefpodoxime]
,Desbac,General Pharmaceuticals ,[Cefpodoxime]
,Dofixim,Ibn Sina Pharmaceutical,[Cefpodoxime]
,Dxproxil,Monicopharma ,[Cefpodoxime]
,E - Pod,Edruc ,[Cefpodoxime]
,E-Pod,Edruc ,[Cefpodoxime]
,Epoxim,Peoples Pharma ,[Cefpodoxime]
,Evedoxim,Everest Pharmaceuticals ,[Cefpodoxime]
,Instina,Ziska Pharmaceuticals ,[Cefpodoxime]
,Kidcef,Beacon Pharmaceuticals ,[Cefpodoxime]
,Metoxim,Novartis,[Cefpodoxime]
,Neoprox,Somatec Pharmaceuticals ,[Cefpodoxime]
,Neoprox DS,Somatec Pharmaceuticals ,[Cefpodoxime]
,Pedicef,Orion Pharma ,[Cefpodoxime]
,Pedicef DS,Orion Pharma ,[Cefpodoxime]
,Pedicef PD,Orion Pharma ,[Cefpodoxime]
,Podo,Kemiko Pharmaceuticals ,[Cefpodoxime]
,Podoxi,Chemist Laboratories ,[Cefpodoxime]
,Proctil,Medicon Pharmaceuticals ,[Cefpodoxime]
,Rovantin,Opsonin Pharma ,[Cefpodoxime]
,Rovantin DS,Opsonin Pharma ,[Cefpodoxime]
,Roxetil,Healthcare Pharmaceuticals ,[Cefpodoxime]
,Sarelox,Sanofi Aventis,[Cefpodoxime]
,Sarelox DS,Sanofi Aventis,[Cefpodoxime]
,Sefox,Navana Pharmaceuticals ,[Cefpodoxime]
,Sefox DS,Navana Pharmaceuticals ,[Cefpodoxime]
,Starin,Eskayef Bangladesh,[Cefpodoxime]
,Starin DS,Eskayef Bangladesh,[Cefpodoxime]
,Sudoxim,SN Pharmaceuticals ,[Cefpodoxime]
,Taxetil,Aristopharma ,[Cefpodoxime]
,Taxetil DS,Aristopharma ,[Cefpodoxime]
,Toraxim,Delta Pharma ,[Cefpodoxime]
,Trucef,Renata ,[Cefpodoxime]
,Trucef DS,Renata ,[Cefpodoxime]
,Vanprox,Square Cephalosporins ,[Cefpodoxime]
,Vanprox,Square Pharmaceuticals ,[Cefpodoxime]
,Vanprox Forte,Square Pharmaceuticals ,[Cefpodoxime]
,Vercef,Beximco Pharmaceuticals ,[Cefpodoxime]
,Vercef DS,Beximco Pharmaceuticals ,[Cefpodoxime]
,Victorin,Novo Healthcare and Pharma ,[Cefpodoxime]
,Xepodox,Rangs Pharmaceuticals ,[Cefpodoxime]
,Ximeprox,Incepta Pharmaceuticals ,[Cefpodoxime]
,Ximeprox DS,Incepta Pharmaceuticals ,[Cefpodoxime]
,Ximocef,Kumudini Pharma ,[Cefpodoxime]
,Xpotil,Cosmic Chemical Industries ,[Cefpodoxime]
,Zedoxim,Globe Pharmaceuticals ,[Cefpodoxime]
,Anca,Square Pharmaceuticals ,[Cefprozil]
,Cefozil,Popular Pharmaceuticals ,[Cefprozil]
,Zilapro,Beximco Pharmaceuticals ,[Cefprozil]
,Zilcef,Apex Pharmaceuticals ,[Cefprozil]
,Cefazid IV/IM,Renata ,[Ceftazidime]
,Ceftazim IV/IM,Aristopharma ,[Ceftazidime]
,Cefzon IV/IM,Navana Pharmaceuticals ,[Ceftazidime]
,Lesero IV/IM,Ziska Pharmaceuticals ,[Ceftazidime]
,Maxbac IV/IM,Rangs Pharmaceuticals ,[Ceftazidime]
,Maxibac IV/IM,Rangs Pharmaceuticals ,[Ceftazidime]
,Maxidim IV/IM,Beximco Pharmaceuticals ,[Ceftazidime]
,Serozid IV/IM,Opsonin Pharma ,[Ceftazidime]
,Sidobac IV/IM,Incepta Pharmaceuticals ,[Ceftazidime]
,Tazid IV/IM,Square Cephalosporins ,[Ceftazidime]
,Tazid IV/IM,Square Pharmaceuticals ,[Ceftazidime]
,Tizime IV/IM,Globe Pharmaceuticals ,[Ceftazidime]
,Trizidim IV/IM,Acme Laboratories ,[Ceftazidime]
,Trum-3,Drug International Ltd.,[Ceftazidime]
,Trum-3 IV/IM,Drug International Ltd.,[Ceftazidime]
,Zidicef IV/IM,Popular Pharmaceuticals ,[Ceftazidime]
,Zidim IV/IM,Orion Pharma ,[Ceftazidime]
,Zidimax IV/IM,Bio Pharma Laboratories ,[Ceftazidime]
,Zitum IV/IM,ACI ltd.,[Ceftazidime]
,Cebuten,Renata ,[Ceftibuten]
,Oditen,Opsonin Pharma ,[Ceftibuten]
,3GC I.M,Opso Saline ,[Ceftriaxone]
,3GC I.V,Opso Saline ,[Ceftriaxone]
,Aciphin IM,ACI ltd.,[Ceftriaxone]
,Aciphin IV,ACI ltd.,[Ceftriaxone]
,Arixon IM,Beximco Pharmaceuticals ,[Ceftriaxone]
,Arixon IV,Beximco Pharmaceuticals ,[Ceftriaxone]
,Axon IM,Aristopharma ,[Ceftriaxone]
,Axon IV,Aristopharma ,[Ceftriaxone]
,Axosin I.V,Ibn Sina Pharmaceutical,[Ceftriaxone]
,Axosin IM,Ibn Sina Pharmaceutical,[Ceftriaxone]
,Axosin IV,Ibn Sina Pharmaceutical,[Ceftriaxone]
,Cefixon IM,Techno Drugs ,[Ceftriaxone]
,Cefixon IV,Techno Drugs ,[Ceftriaxone]
,Ceftizone IM,Renata ,[Ceftriaxone]
,Ceftizone IV,Renata ,[Ceftriaxone]
,Ceftrix IM,Novo Healthcare and Pharma ,[Ceftriaxone]
,Ceftrix IV,Novo Healthcare and Pharma ,[Ceftriaxone]
,Ceftron IM,Square Pharmaceuticals ,[Ceftriaxone]
,Ceftron IV,Square Pharmaceuticals ,[Ceftriaxone]
,Dicephin IM,Drug International Ltd.,[Ceftriaxone]
,Dicephin IV,Drug International Ltd.,[Ceftriaxone]
,Enocef IM,Sanofi Aventis,[Ceftriaxone]
,Enocef IV,Sanofi Aventis,[Ceftriaxone]
,Eracef IM,Popular Pharmaceuticals ,[Ceftriaxone]
,Eracef IV,Popular Pharmaceuticals ,[Ceftriaxone]
,Exephin 1 gm IM,Incepta Pharmaceuticals ,[Ceftriaxone]
,Exephin 2 gm IV,Incepta Pharmaceuticals ,[Ceftriaxone]
,Exephin 250 IM,Incepta Pharmaceuticals ,[Ceftriaxone]
,Exephin 250 IV,Incepta Pharmaceuticals ,[Ceftriaxone]
,Exephin 500 IM,Incepta Pharmaceuticals ,[Ceftriaxone]
,Exephin 500 IV,Incepta Pharmaceuticals ,[Ceftriaxone]
,G Ceftriax IM,Gonoshasthaya Pharmaceuticals ,[Ceftriaxone]
,G Ceftriax IV,Gonoshasthaya Pharmaceuticals ,[Ceftriaxone]
,Imacef IM,General Pharmaceuticals ,[Ceftriaxone]
,Imacef IV,General Pharmaceuticals ,[Ceftriaxone]
,Inoxon IM,Rephco Pharmaceuticals ,[Ceftriaxone]
,Inoxon IV,Rephco Pharmaceuticals ,[Ceftriaxone]
,Keptrix I.M/IV,Apex Pharmaceuticals ,[Ceftriaxone]
,Megacin IV/IM,Novartis,[Ceftriaxone]
,Megion I.V,Novartis,[Ceftriaxone]
,Megion IM,Novartis,[Ceftriaxone]
,Megion IV,Novartis,[Ceftriaxone]
,Odatrix IM,Unimed & Unihealth Manufacturers ,[Ceftriaxone]
,Odatrix IV,Unimed & Unihealth Manufacturers ,[Ceftriaxone]
,Oricef IM,Healthcare Pharmaceuticals ,[Ceftriaxone]
,Oricef IV,Healthcare Pharmaceuticals ,[Ceftriaxone]
,Oryx IM,Rangs Pharmaceuticals ,[Ceftriaxone]
,Oryx IV,Rangs Pharmaceuticals ,[Ceftriaxone]
,Parcef IM,Jayson Pharmaceuticals ,[Ceftriaxone]
,Parcef IV,Jayson Pharmaceuticals ,[Ceftriaxone]
,Perix IM,Monicopharma ,[Ceftriaxone]
,Perix IV,Monicopharma ,[Ceftriaxone]
,Powercef I.M,Chemist Laboratories ,[Ceftriaxone]
,Powercef IM,Chemist Laboratories ,[Ceftriaxone]
,Powercef IV,Chemist Laboratories ,[Ceftriaxone]
,Rakxon IM,RAK Pharmaceuticals ,[Ceftriaxone]
,Rakxon IV,RAK Pharmaceuticals ,[Ceftriaxone]
,RIT IM,Kemiko Pharmaceuticals ,[Ceftriaxone]
,RIT IV,Kemiko Pharmaceuticals ,[Ceftriaxone]
,Rofecin IM,Radiant Pharmaceutical ,[Ceftriaxone]
,Rofecin IV,Radiant Pharmaceutical ,[Ceftriaxone]
,Topcef I.M,Navana Pharmaceuticals ,[Ceftriaxone]
,Topcef IV,Navana Pharmaceuticals ,[Ceftriaxone]
,Topcef?˜I.M,Navana Pharmaceuticals ,[Ceftriaxone]
,Topcef?˜I.V,Navana Pharmaceuticals ,[Ceftriaxone]
,Trax IM,Medimet Pharmaceuticals ,[Ceftriaxone]
,Trax IV,Medimet Pharmaceuticals ,[Ceftriaxone]
,Traxon IM,Opsonin Pharma ,[Ceftriaxone]
,Traxon IV,Opsonin Pharma ,[Ceftriaxone]
,Tribac IM,Globe Pharmaceuticals ,[Ceftriaxone]
,Tribac IV,Globe Pharmaceuticals ,[Ceftriaxone]
,Triject IM,Eskayef Bangladesh,[Ceftriaxone]
,Triject IV,Eskayef Bangladesh,[Ceftriaxone]
,Trimax IM,Pharmasia ,[Ceftriaxone]
,Trimax IV,Pharmasia ,[Ceftriaxone]
,Triphin I.M,Ziska Pharmaceuticals ,[Ceftriaxone]
,Triphin IM,Ziska Pharmaceuticals ,[Ceftriaxone]
,Triphin IV,Ziska Pharmaceuticals ,[Ceftriaxone]
,Trizon I.M,Acme Laboratories ,[Ceftriaxone]
,Trizon IM,Acme Laboratories ,[Ceftriaxone]
,Trizon IV,Acme Laboratories ,[Ceftriaxone]
,Vertex I.V,Orion Pharma ,[Ceftriaxone]
,Vertex IM,Orion Pharma ,[Ceftriaxone]
,Vertex IV,Orion Pharma ,[Ceftriaxone]
,Winner IM,Bio Pharma Laboratories ,[Ceftriaxone]
,Winner IV,Bio Pharma Laboratories ,[Ceftriaxone]
,Xone-3 IM,Delta Pharma ,[Ceftriaxone]
,Xone-3 IV,Delta Pharma ,[Ceftriaxone]
,Xylab IM,Libra Pharmaceuticls ,[Ceftriaxone]
,Xylab IV,Libra Pharmaceuticls ,[Ceftriaxone]
,Cefaclav,Incepta Pharmaceuticals ,[Cefuroxime ; Clavulanic Acid]
,Cefaclav 125,Incepta Pharmaceuticals ,[Cefuroxime ; Clavulanic Acid]
,Cefaclav 250,Incepta Pharmaceuticals ,[Cefuroxime ; Clavulanic Acid]
,Cefaclav 500,Incepta Pharmaceuticals ,[Cefuroxime ; Clavulanic Acid]
,Cefuclav,Techno Drugs ,[Cefuroxime ; Clavulanic Acid]
,Cerox CV 125,ACI ltd.,[Cefuroxime ; Clavulanic Acid]
,Cerox CV 250,ACI ltd.,[Cefuroxime ; Clavulanic Acid]
,Cerox CV 500,ACI ltd.,[Cefuroxime ; Clavulanic Acid]
